Station Codes,Station Name,Latitude,Longitude
SN,Subhash Nagar Metro Station,28.640446,77.104918
SLTP,Sultanpur Metro Station,28.49926,77.161368
SMSM,Surajmal Stadium Metro Station,28.681879,77.073985
TG,Tagore Garden Metro Station,28.643895,77.11283
TN,Tilak Nagar Metro Station,28.636587,77.096466
TZI,Tis Hazari Metro Station,28.667094,77.216534
TKBD,Tughlakabad Station Metro Station,28.502311,77.299145
UDB,Udyog Bhawan Metro Station,28.611014,77.212244
UNRG,Udyog Nagar Metro Station,28.681048,77.080864
UNE,Uttam Nagar East Metro Station,28.62478,77.065125
UNW,Uttam Nagar West Metro Station,28.621734,77.055818
VASI,Vaishali Metro Station,28.649947,77.339711
VS,Vidhan Sabha Metro Station,28.687908,77.221736
VW,Vishwa Vidyalaya Metro Station,28.694721,77.214603
WC,Welcome Metro Station,28.671871,77.277959
YB,Yamuna Bank,28.623247,77.267903
